getpwuid_r did not find a match for uid 501
Filtering the log data using "process == "FloppyTurd""
Timestamp                       Thread     Type        Activity             PID    TTL  
2025-07-06 21:16:00.978561-0500 0x5735f4   Activity    0x11ad772            88611  0    FloppyTurd: (CoreFoundation) Updating Key-Value Observers Of Preferences
2025-07-06 21:16:00.978839-0500 0x57365e   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] UIMutableApplicationSceneClientSettings setting counterpart class: UIApplicationSceneClientSettings
2025-07-06 21:16:00.978924-0500 0x57365e   Default     0x0                  88611  0    FloppyTurd: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension FBSSceneTransitionContextCore on FBSSceneTransitionContext
2025-07-06 21:16:00.982578-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 5; deactivation reasons: 1024 -> 1056; animating application lifecycle event: 1
2025-07-06 21:16:00.982794-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x101604dd0> (179BBAD8-F58B-4316-97CD-97D274D28F04)
2025-07-06 21:16:00.982853-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Should send trait collection or coordinate space update, interface style 1 -> 1, <UIWindowScene: 0x101604dd0> (179BBAD8-F58B-4316-97CD-97D274D28F04)
2025-07-06 21:16:00.983931-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x101604dd0> (179BBAD8-F58B-4316-97CD-97D274D28F04)
2025-07-06 21:16:00.984301-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:HomeAffordanceObservation] Initializing: <_UIHomeAffordanceSceneNotifier: 0x6000029245b0>; with scene: <UIWindowScene: 0x101604dd0>
2025-07-06 21:16:00.984392-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (BacklightServices) [com.apple.BacklightServices:scenes] 0x600000c0df80 setDelegate:<0x600000c24720 _UIBacklightEnvironment> hasDelegate:YES for environment:sceneID:com.floppyturd.game-default
2025-07-06 21:16:00.984783-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x101604dd0> (179BBAD8-F58B-4316-97CD-97D274D28F04)
2025-07-06 21:16:00.984824-0500 0x5735f4   Default     0x0                  88611  1    FloppyTurd: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x600002924620] Initialized with scene: <UIWindowScene: 0x101604dd0>; behavior: <_UIEventDeferringBehavior_iOS: 0x600000226b60>; systemShellManagesKeyboardFocus: 1
2025-07-06 21:16:00.985296-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (libxpc.dylib) [com.apple.xpc:connection] [0x101506550] activating connection: mach=false listener=false peer=false name=(anonymous)
2025-07-06 21:16:00.986289-0500 0x5735f4   Default     0x0                  88611  0    FloppyTurd: (BackBoardServices) [com.apple.BackBoard:EventDelivery] policyStatus:<BKSHIDEventDeliveryPolicyObserver: 0x600002103e30; process scope; status: target> was:none
2025-07-06 21:16:00.986333-0500 0x5735f4   Default     0x0                  88611  1    FloppyTurd: (UIKitCore) [com.apple.UIKit:KeyWindow] Setting default evaluation strategy for UIUserInterfaceIdiomPhone to LastOneWins
2025-07-06 21:16:00.986356-0500 0x5735f4   Default     0x0                  88611  1    FloppyTurd: (UIKitCore) [com.apple.UIKit:KeyWindow] Scene target of keyboard event deferring environment did change: 1; scene: UIWindowScene: 0x101604dd0; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.floppyturd.game-default
2025-07-06 21:16:00.986386-0500 0x5735f4   Default     0x0                  88611  1    FloppyTurd: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x600002924620] Scene target of event deferring environments did update: scene: 0x101604dd0; current systemShellManagesKeyboardFocus: 1; systemShellManagesKeyboardFocusForScene: 1; eligibleForRecordRemoval: 1;
